timestamp,total_capital,available_capital,invested_capital,total_pnl,total_pnl_pct,num_positions,max_drawdown,win_rate,total_trades
2025-07-16T15:46:39.503913,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T16:09:18.545988,9999.850819511237,9999.850819511237,0,-0.14918048876239082,-1.4918048876279499e-05,0,0.0,0.0,1
2025-07-16T16:10:19.240988,9999.850819511237,9619.85648836981,379.9943311414271,-0.14918048876239082,-1.4918048876279499e-05,1,0.0,0.0,1
2025-07-16T16:22:42.743319,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T16:39:43.545733,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T16:57:24.015816,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T17:14:41.086454,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T17:31:28.556943,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T18:02:28.596509,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T18:33:36.175450,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T18:50:09.601444,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-16T19:34:26.670073,9997.67233835683,9997.67233835683,0,-2.327661643169665,-0.00023276616431703586,0,0.0,0.0,1
2025-07-16T19:35:27.685105,9997.67233835683,9617.76078949927,379.9115488575596,-2.327661643169665,-0.00023276616431703586,1,0.0,0.0,1
2025-07-16T21:58:54.450438,9998.787211335968,9998.787211335968,0,-1.2127886640317616,-0.00012127886640319048,0,0.0,0.5,2
2025-07-16T21:59:55.161995,9998.787211335968,9618.833297305202,379.95391403076684,-1.2127886640317616,-0.00012127886640319048,1,0.0,0.5,2
2025-07-16T22:49:19.506374,9996.85926407508,9996.85926407508,0,-3.140735924921679,-0.0003140735924920591,0,0.00018167808231543488,0.3333333333333333,3
2025-07-16T22:50:20.220048,9996.85926407508,9616.978612040226,379.8806520348531,-3.140735924921679,-0.0003140735924920591,1,0.00018167808231543488,0.3333333333333333,3
2025-07-17T01:59:16.421003,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-17T02:00:18.865866,10000.0,9254.44,745.5600000000002,0.0,0.0,2,0.0,0,0
2025-07-17T02:01:21.209386,10000.0,8902.77128,1097.2287200000003,0.0,0.0,3,0.0,0,0
2025-07-17T02:02:23.352371,10000.0,8564.465971360001,1435.5340286400003,0.0,0.0,4,0.0,0,0
2025-07-17T02:03:27.504667,10000.0,8239.01626444832,1760.9837355516804,0.0,0.0,5,0.0,0,0
2025-07-17T02:17:15.630416,10000.0,9620.0,380.00000000000006,0.0,0.0,1,0.0,0,0
2025-07-17T02:18:18.387880,10000.0,9254.44,745.5600000000002,0.0,0.0,2,0.0,0,0
2025-07-17T02:20:22.049805,10000.0,8902.77128,1097.2287200000003,0.0,0.0,3,0.0,0,0
2025-07-17T02:21:23.613606,10000.0,8564.465971360001,1435.5340286400003,0.0,0.0,4,0.0,0,0
2025-07-17T02:23:26.201462,10000.0,8239.01626444832,1760.9837355516804,0.0,0.0,5,0.0,0,0
