feature,importance
atr,0.14211173
is_weekend,0.050629236
volatility_20,0.044805814
price_vs_ema9,0.041054897
day_of_week,0.03892805
candle_body,0.03864406
bb_position,0.037817713
volume_ratio,0.03731227
hour,0.03472814
upper_wick,0.032914605
bb_width,0.03176914
price_vs_ema21,0.031578142
lstm_delta,0.030841395
price_vs_vwap,0.029813312
macd_histogram,0.029777683
rsi,0.028230393
momentum_10,0.02740342
price_change_4h,0.026829433
lower_wick,0.026757982
macd,0.026564758
price_vs_sma200,0.025908882
roc_10,0.024919655
volume_change,0.02453438
near_resistance,0.024423491
macd_bullish,0.0244057
returns,0.022817237
price_change_1h,0.020127669
near_support,0.019164266
rsi_overbought,0.013564705
rsi_oversold,0.011621992
